blood,frost,unholy,havoc,vengeance,balance,feral,guardian,restorationd,beast mastery,marksmanship,survival,arcane,fire,frost,brewmaster,mistweaver,windwalker,holypa,protectionp,retribution,discipline,holypr,shadow,assassination,outlaw,subtlety,elemental,enhancement,restorations,affliction,demonology,destruction,arms,fury,protectionw
3,2,4,3
2,2,3,3
2,2,4,3
3,2,2,3
4,1,2,3
4,1,2,3
4,1,3,4
2,1,3,3
3,3,2,3
1,2,4,3
3,3,3,2
3,3,3,3
3,3,3,2
3,2,3,3
3,1,4,3
3,2,2,3
3,3,1,1
1,3,3,3
2,2,2,3
4,1,2,1
2,2,2,1
2,1,2,3
3,2,2,4
3,2,3,1
1,2,2,2
4,3,3,3
4,3,3,3
4,3,3,3
4,2,1,2
3,1,1,4
3,3,2,1
3,3,2,3
3,3,1,3
3,3,1,3
2,2,2,3
2,2,2,3
3,2,3,2
